,winner_ht,winner_age,loser_ht,loser_age,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
winner_ht,1.0,-0.06367629908420319,0.015648476951491228,0.019898002017726565,-0.022000837253594974,0.26133039928138146,0.043856830245314456,0.003004418522215023,-0.02921220661345277,0.02907575886912415,0.059789849770149006,0.0031192120175856657,-0.025307910793720613,-0.054846719791118485,-0.008031411793380046,-0.02645505268998702,0.018416054730153755,0.024782228984652783,0.06294572800482305,0.020929564853140882,-0.0037448804284058697,0.04629408630789616,-0.004627469120928666,-0.08222664915947808,0.10697135603597281,-0.06400683728257123,0.07235399333314757
winner_age,-0.06367629908420319,1.0,0.0045795680648237575,0.1288808507403624,0.01961862545203458,-0.05810051140259556,-0.003375463677880757,-0.007305905065537101,0.026091174059637588,0.017725658902176023,-0.08764585671603115,-0.0012997127589726002,0.019113409120606318,0.03061542067218047,0.009769922591903075,-0.017946622525310704,-0.003059790781918617,-0.00699023677437034,-0.0353648493946812,0.02357221429839763,0.0054559648656220565,0.0033103932458057135,0.020496820966540274,-0.3177583552972189,0.2635849062712003,-0.2104095025196031,0.18106548888128393
loser_ht,0.015648476951491228,0.0045795680648237575,1.0,-0.05419150292875975,-0.028687613703222224,-0.012162214990139784,0.03353208057510217,-0.011383679728890471,-0.008747782048443517,0.03555874541088737,0.0014394256144144245,0.006526671652973819,-0.028080430521779,-0.05719441635825462,0.3062978555359314,0.0580327290206863,0.006700803847070494,-0.03498960270464634,0.032152902936804,0.05376460402851391,0.006277067146175045,0.016243812158335456,-0.043109413749598584,-0.06720578394557228,0.06590306212196599,-0.09132130390620995,0.10477059290895845
loser_age,0.019898002017726565,0.1288808507403624,-0.05419150292875975,1.0,0.023186876307643697,0.02112039953806976,0.021618329097897335,-0.002948286089784477,-0.0004487235468735004,-0.010982293353703878,0.007994063632878086,-0.004366584448304272,-0.002053358568114549,0.003271925568815544,-0.01581940684293247,-0.06259649671706025,-0.01351420623928505,0.02617812584192122,0.010860794062007741,-0.04627609213404024,-0.012264338282520704,-0.005669568012120057,-0.004430694378400801,-0.24412121158348124,0.21985309812769155,-0.3088363467498587,0.2455752322216467
minutes,-0.022000837253594974,0.01961862545203458,-0.028687613703222224,0.023186876307643697,1.0,0.11537087828817247,0.43203349858730883,0.8946911955348452,0.8284584869037175,0.7748633142660789,0.5489269109804288,0.6357737433150253,0.5445725603954396,0.7058364213451002,0.2828549234098506,0.2473306008598551,0.8866980628525339,0.8156640674370647,0.810064445195071,0.678693560671292,0.6454207193704251,0.40702887143931676,0.45924134451545173,0.05673856931005352,-0.05515207692927825,-0.07363037461167571,0.042920262903930015
w_ace,0.26133039928138146,-0.05810051140259556,-0.012162214990139784,0.02112039953806976,0.11537087828817247,1.0,0.11368939854405809,0.1990229487922102,0.08275916292877891,0.22044507378489792,0.3092671877216217,0.14780286552432842,0.08500347052281218,0.031792181965494895,0.14406259347428935,-0.0005344567502268372,0.17888194077391348,0.17488199182520775,0.24789947242639043,0.20026224126387912,0.1310673530175266,0.04122526389849266,-0.04811940464059194,-0.033855252253765566,0.06410086571672322,-0.052959058113128524,0.034249404408145924
w_df,0.043856830245314456,-0.003375463677880757,0.03353208057510217,0.021618329097897335,0.43203349858730883,0.11368939854405809,1.0,0.46843571841206927,0.32080872582681225,0.32135284540124154,0.30839200112963344,0.2844185871247593,0.3716670279358499,0.458238407911708,0.12260846531254566,0.20989463523585036,0.3942887552245515,0.341934507019778,0.32897412861486186,0.28964575276135685,0.28713409828806247,0.18636096138493258,0.2519454968330494,0.06712349363930728,-0.05760753843663049,0.007816406194261175,0.020112950075126184
w_svpt,0.003004418522215023,-0.007305905065537101,-0.011383679728890471,-0.002948286089784477,0.8946911955348452,0.1990229487922102,0.46843571841206927,1.0,0.9275459606708928,0.885173543627054,0.6153567050818113,0.6619524684652739,0.6707991698294551,0.7856951596832727,0.3174449426797512,0.23782167570208151,0.8328390890841082,0.7645276251322863,0.7919505663004274,0.6612029186156965,0.6542361206315234,0.29993507191445345,0.34398554521660835,0.05844935422332488,-0.05955047903955399,-0.10742092776539584,0.07575302706137575
w_1stIn,-0.02921220661345277,0.026091174059637588,-0.008747782048443517,-0.0004487235468735004,0.8284584869037175,0.08275916292877891,0.32080872582681225,0.9275459606708928,1.0,0.9369361749613061,0.3432205949178656,0.6169772960095056,0.6179621128845955,0.7310715999353559,0.2850277933232544,0.19078227956159308,0.7679392793713377,0.7175357667492738,0.7335647166147393,0.590689750420395,0.6100103205081445,0.26975203171426554,0.32019285666734737,0.0637612939179595,-0.0800256484582502,-0.11021912156655193,0.07809899412635538
w_1stWon,0.02907575886912415,0.017725658902176023,0.03555874541088737,-0.010982293353703878,0.7748633142660789,0.22044507378489792,0.32135284540124154,0.885173543627054,0.9369361749613061,1.0,0.3345930460678234,0.598871218173792,0.5457905690736354,0.5948265240809558,0.3545692687458831,0.15293782822083482,0.7434191897719666,0.6866775137578064,0.7575675624421634,0.6268910172906653,0.5853981373783516,0.24059407452356252,0.21624925510575016,0.06594178909617264,-0.06854187351927515,-0.09706337902521298,0.06635154495690586
w_2ndWon,0.059789849770149006,-0.08764585671603115,0.0014394256144144245,0.007994063632878086,0.5489269109804288,0.3092671877216217,0.30839200112963344,0.6153567050818113,0.3432205949178656,0.3345930460678234,1.0,0.4253484722386126,0.38023242452735323,0.38167410288737164,0.28144325169439427,0.15862352004800348,0.5280023284479066,0.45834263408057246,0.5392255706245409,0.5014864456583618,0.41331063907827154,0.16847791176119298,0.11941583009859293,0.008732811862729133,0.01745317683119007,-0.051539833325205314,0.026837350910299467
w_SvGms,0.0031192120175856657,-0.0012997127589726002,0.006526671652973819,-0.004366584448304272,0.6357737433150253,0.14780286552432842,0.2844185871247593,0.6619524684652739,0.6169772960095056,0.598871218173792,0.4253484722386126,1.0,0.3227085437248062,0.4636999723611148,0.27188872704201894,0.1690324447951616,0.6593541997945918,0.6138382164887363,0.6408950346195734,0.5018543923256603,0.9831689885232835,0.2768010536960429,0.3042845542340952,0.05723621312217647,-0.015067014949092794,-0.036708639387664506,0.03838648230258254
w_bpSaved,-0.025307910793720613,0.019113409120606318,-0.028080430521779,-0.002053358568114549,0.5445725603954396,0.08500347052281218,0.3716670279358499,0.6707991698294551,0.6179621128845955,0.5457905690736354,0.38023242452735323,0.3227085437248062,1.0,0.9180222416423671,0.11758356397709868,0.13747834028385153,0.44576355735967826,0.41102117611596883,0.39712637913168597,0.3165781667988827,0.32664848060715096,0.1702518054036785,0.2402617058586748,0.018460352924685404,-0.027314444194150703,-0.07741972943804033,0.07935205861818054
w_bpFaced,-0.054846719791118485,0.03061542067218047,-0.05719441635825462,0.003271925568815544,0.7058364213451002,0.031792181965494895,0.458238407911708,0.7856951596832727,0.7310715999353559,0.5948265240809558,0.38167410288737164,0.4636999723611148,0.9180222416423671,1.0,0.11662899767812328,0.22426784630799537,0.6149294146637165,0.5746871273155834,0.5132551091549432,0.3991810280682746,0.4710003604560578,0.26179168037115547,0.40839696384232843,0.03979695491175778,-0.05345396212204323,-0.08669243042155372,0.07663696495488749
l_ace,-0.008031411793380046,0.009769922591903075,0.3062978555359314,-0.01581940684293247,0.2828549234098506,0.14406259347428935,0.12260846531254566,0.3174449426797512,0.2850277933232544,0.3545692687458831,0.28144325169439427,0.27188872704201894,0.11758356397709868,0.11662899767812328,1.0,0.11982204200742115,0.3410573016099242,0.2162274004548791,0.3790401364039275,0.3943166240154442,0.27183113413486004,0.10813818249796359,0.008016935079961577,0.04436482054551226,-0.02008319913746212,-0.04454407506290849,0.0624871558659754
l_df,-0.02645505268998702,-0.017946622525310704,0.0580327290206863,-0.06259649671706025,0.2473306008598551,-0.0005344567502268372,0.20989463523585036,0.23782167570208151,0.19078227956159308,0.15293782822083482,0.15862352004800348,0.1690324447951616,0.13747834028385153,0.22426784630799537,0.11982204200742115,1.0,0.29777089448313426,0.14579036628626627,0.19906351700271083,0.2049378063560216,0.18255800693159394,0.19994943193916306,0.2668244941099677,0.06024079750290614,-0.058913535684614986,0.03062376434513663,-0.03476383605799495
l_svpt,0.018416054730153755,-0.003059790781918617,0.006700803847070494,-0.01351420623928505,0.8866980628525339,0.17888194077391348,0.3942887552245515,0.8328390890841082,0.7679392793713377,0.7434191897719666,0.5280023284479066,0.6593541997945918,0.44576355735967826,0.6149294146637165,0.3410573016099242,0.29777089448313426,1.0,0.9228277316936501,0.9102988291868245,0.7508209979671081,0.6792504496547043,0.5736285449807024,0.5864505962655651,0.05479525288123224,-0.04405272309107217,-0.07889387320770175,0.04719758452305874
l_1stIn,0.024782228984652783,-0.00699023677437034,-0.03498960270464634,0.02617812584192122,0.8156640674370647,0.17488199182520775,0.341934507019778,0.7645276251322863,0.7175357667492738,0.6866775137578064,0.45834263408057246,0.6138382164887363,0.41102117611596883,0.5746871273155834,0.2162274004548791,0.14579036628626627,0.9228277316936501,1.0,0.9259140861947718,0.5183870529326802,0.6317526865327574,0.5467845634502849,0.5626230657549142,0.048826453037760176,-0.047379018721760334,-0.06745590167561571,0.029062881811079078
l_1stWon,0.06294572800482305,-0.0353648493946812,0.032152902936804,0.010860794062007741,0.810064445195071,0.24789947242639043,0.32897412861486186,0.7919505663004274,0.7335647166147393,0.7575675624421634,0.5392255706245409,0.6408950346195734,0.39712637913168597,0.5132551091549432,0.3790401364039275,0.19906351700271083,0.9102988291868245,0.9259140861947718,1.0,0.5632697549570775,0.6513493065692016,0.4746715814723231,0.4066262567776009,0.055734890847955305,-0.0529135856998861,-0.08536145462430704,0.04415946344928739
l_2ndWon,0.020929564853140882,0.02357221429839763,0.05376460402851391,-0.04627609213404024,0.678693560671292,0.20026224126387912,0.28964575276135685,0.6612029186156965,0.590689750420395,0.6268910172906653,0.5014864456583618,0.5018543923256603,0.3165781667988827,0.3991810280682746,0.3943166240154442,0.2049378063560216,0.7508209979671081,0.5183870529326802,0.5632697549570775,1.0,0.5108189902246139,0.35115538921916045,0.28314116108016996,0.04284146258179963,-0.007856212929426959,-0.09591929216331617,0.08134253570490117
l_SvGms,-0.0037448804284058697,0.0054559648656220565,0.006277067146175045,-0.012264338282520704,0.6454207193704251,0.1310673530175266,0.28713409828806247,0.6542361206315234,0.6100103205081445,0.5853981373783516,0.41331063907827154,0.9831689885232835,0.32664848060715096,0.4710003604560578,0.27183113413486004,0.18255800693159394,0.6792504496547043,0.6317526865327574,0.6513493065692016,0.5108189902246139,1.0,0.2871185575020278,0.328388372281536,0.0563402946757743,-0.013975484637216113,-0.029461462961186333,0.03469265047674405
l_bpSaved,0.04629408630789616,0.0033103932458057135,0.016243812158335456,-0.005669568012120057,0.40702887143931676,0.04122526389849266,0.18636096138493258,0.29993507191445345,0.26975203171426554,0.24059407452356252,0.16847791176119298,0.2768010536960429,0.1702518054036785,0.26179168037115547,0.10813818249796359,0.19994943193916306,0.5736285449807024,0.5467845634502849,0.4746715814723231,0.35115538921916045,0.2871185575020278,1.0,0.9191528747745914,-0.00028760039354117463,0.007546049859326837,-0.046576024682764915,0.02956762364894758
l_bpFaced,-0.004627469120928666,0.020496820966540274,-0.043109413749598584,-0.004430694378400801,0.45924134451545173,-0.04811940464059194,0.2519454968330494,0.34398554521660835,0.32019285666734737,0.21624925510575016,0.11941583009859293,0.3042845542340952,0.2402617058586748,0.40839696384232843,0.008016935079961577,0.2668244941099677,0.5864505962655651,0.5626230657549142,0.4066262567776009,0.28314116108016996,0.328388372281536,0.9191528747745914,1.0,0.004533717090982354,-0.008944641165040287,-0.027380949775417465,0.007334004503769484
winner_rank,-0.08222664915947808,-0.3177583552972189,-0.06720578394557228,-0.24412121158348124,0.05673856931005352,-0.033855252253765566,0.06712349363930728,0.05844935422332488,0.0637612939179595,0.06594178909617264,0.008732811862729133,0.05723621312217647,0.018460352924685404,0.03979695491175778,0.04436482054551226,0.06024079750290614,0.05479525288123224,0.048826453037760176,0.055734890847955305,0.04284146258179963,0.0563402946757743,-0.00028760039354117463,0.004533717090982354,1.0,-0.7321069864586988,0.5857389300406687,-0.46221921777940955
winner_rank_points,0.10697135603597281,0.2635849062712003,0.06590306212196599,0.21985309812769155,-0.05515207692927825,0.06410086571672322,-0.05760753843663049,-0.05955047903955399,-0.0800256484582502,-0.06854187351927515,0.01745317683119007,-0.015067014949092794,-0.027314444194150703,-0.05345396212204323,-0.02008319913746212,-0.058913535684614986,-0.04405272309107217,-0.047379018721760334,-0.0529135856998861,-0.007856212929426959,-0.013975484637216113,0.007546049859326837,-0.008944641165040287,-0.7321069864586988,1.0,-0.48236724650167884,0.5479760629412652
loser_rank,-0.06400683728257123,-0.2104095025196031,-0.09132130390620995,-0.3088363467498587,-0.07363037461167571,-0.052959058113128524,0.007816406194261175,-0.10742092776539584,-0.11021912156655193,-0.09706337902521298,-0.051539833325205314,-0.036708639387664506,-0.07741972943804033,-0.08669243042155372,-0.04454407506290849,0.03062376434513663,-0.07889387320770175,-0.06745590167561571,-0.08536145462430704,-0.09591929216331617,-0.029461462961186333,-0.046576024682764915,-0.027380949775417465,0.5857389300406687,-0.48236724650167884,1.0,-0.7292432771272275
loser_rank_points,0.07235399333314757,0.18106548888128393,0.10477059290895845,0.2455752322216467,0.042920262903930015,0.034249404408145924,0.020112950075126184,0.07575302706137575,0.07809899412635538,0.06635154495690586,0.026837350910299467,0.03838648230258254,0.07935205861818054,0.07663696495488749,0.0624871558659754,-0.03476383605799495,0.04719758452305874,0.029062881811079078,0.04415946344928739,0.08134253570490117,0.03469265047674405,0.02956762364894758,0.007334004503769484,-0.46221921777940955,0.5479760629412652,-0.7292432771272275,1.0
